"name","college","rank","draft_year","draft_rd","draft_pk","recruit_year","nba_mean_vorp","top","highSchool","coll","draft","rookie","allstar","bad","good","great","highest"
"Al Harrington","",1,1998,1,25,1998,0.54,1,1,2,1,1,,,1,,"good"
"Rashard Lewis","",2,1998,2,32,1998,2.86,1,1,2,1,1,,,,1,"great"
"Korleone Young","",3,1998,2,40,1998,,1,1,2,1,0,,,,,"rookie"
"Dan Gadzuric","University of California, Los Angeles",4,2002,2,34,1998,0.9,1,1,1,1,1,,,1,,"good"
"Stromile Swift","Louisiana State University",5,2000,1,2,1998,0.45,1,1,1,1,1,,,1,,"good"
"Ronald Curry","University of North Carolina",6,,,,1998,,1,1,0,,,,,,,"college"
"JaRon Rush","University of California, Los Angeles",7,,,,1998,,1,1,0,,,,,,,"college"
"Joel Przybilla","University of Minnesota",8,2000,1,9,1998,1,1,1,1,1,1,,,1,,"good"
"Quentin Richardson","DePaul University",9,2000,1,18,1998,1.21,1,1,1,1,1,,,1,,"good"
"Jason Capel","University of North Carolina",10,,,,1998,,1,1,0,,,,,,,"college"
"Vincent Yarbrough","University of Tennessee",11,2002,2,33,1998,,1,1,1,1,0,,,,,"rookie"
"Tayshaun Prince","University of Kentucky",12,2002,1,23,1998,1.54,1,1,1,1,1,,,1,,"good"
"Mike Miller","University of Florida",13,2000,1,5,1998,1.77,1,1,1,1,1,,,1,,"good"
"Dane Fife","Indiana University",14,,,,1998,,1,1,0,,,,,,,"college"
"Kevin Lyde","Temple University",14,,,,1998,,1,1,0,,,,,,,"college"
"Ray Young","University of California, Los Angeles",16,,,,1998,,1,1,0,,,,,,,"college"
"Corey Maggette","Duke University",16,1999,1,13,1998,1.24,1,1,1,1,1,,,1,,"good"
"Corey Hightower","Indian Hills Community College",18,,,,1998,,1,1,0,,,,,,,"college"
"Keyon Dooling","University of Missouri",19,2000,1,10,1998,0.15,1,1,1,1,1,,,1,,"good"
"Teddy Dupay","University of Florida",20,,,,1998,,1,1,0,,,,,,,"college"
"Frank Williams","University of Illinois at Urbana-Champaign",21,2002,1,25,1998,,1,1,1,1,1,,,,,"other"
"Kris Lang","University of North Carolina",22,,,,1998,,1,1,0,,,,,,,"college"
"Anthony Glover","St. John's University",23,,,,1998,,1,1,0,,,,,,,"college"
"Lance Williams","DePaul University",24,,,,1998,,1,1,0,,,,,,,"college"
"Adam Harrington","Auburn University",25,,,,1998,,1,1,0,,,,,,,"college"
"Bobby Simmons","DePaul University",26,2001,2,42,1998,1.33,1,1,1,1,1,,,1,,"good"
"Dan Miller","University of Notre Dame",27,,,,1998,,1,1,0,,,,,,,"college"
"Lloyd Price","Xavier University",28,,,,1998,,1,1,0,,,,,,,"college"
"Michael Wright","University of Arizona",29,2001,,,1998,,1,1,1,0,,,,,,"draft"
"Erick Barkley","St. John's University",29,2000,1,28,1998,,1,1,1,1,1,,,,,"other"
"Jules Camara","University of Kentucky",31,,,,1998,,1,1,0,,,,,,,"college"
"Antonio Latimer","",32,,,,1998,,1,0,,,,,,,,"highSchool"
"Robert Jackson","Marquette University",33,,,,1998,,1,1,0,,,,,,,"college"
"Richard Jefferson","University of Arizona",33,2001,1,13,1998,1.55,1,1,1,1,1,,,1,,"good"
"B.B. Waldon","University of South Florida",35,,,,1998,,1,1,0,,,,,,,"college"
"Doug Wrenn","University of Washington",36,,,,1998,,1,1,0,,,,,,,"college"
"Ronald Blackshear","Marshall University",37,,,,1998,,1,1,0,,,,,,,"college"
"Rasual Butler","La Salle University",37,2002,2,53,1998,0.08,1,1,1,1,1,,,1,,"good"
"Tony Bland","San Diego State University",39,,,,1998,,1,1,0,,,,,,,"college"
"Jeff Boschee","University of Kansas",40,,,,1998,,1,1,0,,,,,,,"college"
"Travis Robinson","Jacksonville University",41,,,,1998,,1,1,0,,,,,,,"college"
"Tony Kitchings","University of South Carolina",42,,,,1998,,1,1,0,,,,,,,"college"
"Ruben Douglas","University of New Mexico",43,,,,1998,,1,1,0,,,,,,,"college"
"Paris London","Arkansas State University",43,,,,1998,,1,1,0,,,,,,,"college"
"Joey Range","University of Iowa",45,,,,1998,,1,1,0,,,,,,,"college"
"Fred Primus","East Carolina University",46,,,,1998,,1,1,0,,,,,,,"college"
"Troy Murphy","University of Notre Dame",46,2001,1,14,1998,1.46,1,1,1,1,1,,,1,,"good"
"Jose Winston","University of Colorado",48,,,,1998,,1,1,0,,,,,,,"college"
