"name","college","rank","draft_year","draft_rd","draft_pk","recruit_year","nba_mean_vorp","top","highSchool","coll","draft","rookie","allstar","bad","good","great","highest"
"Sam Clancy","University of Southern California",49,2002,,,1998,,1,1,1,0,,,,,,"draft"
"Brandon Dean","University of Arkansas",50,,,,1998,,1,1,0,,,,,,,"college"
"Eugene Land","University of Cincinnati",51,,,,1998,,1,1,0,,,,,,,"college"
"Chris Richardson","University of Nevada, Las Vegas",52,,,,1998,,1,1,0,,,,,,,"college"
"Ladarius Halton","University of Florida",53,,,,1998,,1,1,0,,,,,,,"college"
"Matt Barnes","University of California, Los Angeles",54,2002,2,46,1998,,1,1,1,1,1,,,,,"other"
"Fred Jones","University of Oregon",54,2002,1,14,1998,0.72,1,1,1,1,1,,,1,,"good"
"Tony Akins","Georgia Institute of Technology",56,,,,1998,,1,1,0,,,,,,,"college"
"Broderick Hicks","Wake Forest University",57,,,,1998,,1,1,0,,,,,,,"college"
"Darius Songaila","Wake Forest University",58,2002,2,50,1998,0.23,1,1,1,1,1,,,1,,"good"
"Kevin Braswell","Georgetown University",59,,,,1998,,1,1,0,,,,,,,"college"
"De Angelo McDaniel","University of Tulsa",60,,,,1998,,1,1,0,,,,,,,"college"
"Desmond Allison","University of Kentucky",61,,,,1998,,1,1,0,,,,,,,"college"
"Clarence Gilbert","University of Missouri",62,,,,1998,,1,1,0,,,,,,,"college"
"D.A. Layne","University of Georgia",63,,,,1998,,1,1,0,,,,,,,"college"
"Keith Bean","Texas A&M University",64,,,,1998,,1,1,0,,,,,,,"college"
"Bobby Smith","Villanova University",64,,,,1998,,1,1,0,,,,,,,"college"
"Ernest Brown","Indian Hills Community College",66,2000,2,52,1998,,1,1,1,1,0,,,,,"rookie"
"Cedric Taylor","",67,,,,1998,,1,0,,,,,,,,"highSchool"
"Rick Anderson","University of Arizona",67,,,,1998,,1,1,0,,,,,,,"college"
"Louis Truscott","University of Houston",69,,,,1998,,1,1,0,,,,,,,"college"
"Craig Dawson","Wake Forest University",70,,,,1998,,1,1,0,,,,,,,"college"
"Luke Walton","University of Arizona",71,2003,2,32,1998,1.05,1,1,1,1,1,,,1,,"good"
"Desmond Herod","Seton Hall University",72,,,,1998,,1,1,0,,,,,,,"college"
"Udonis Haslem","University of Florida",72,,,,1998,0.44,1,1,0,,,,,,,"college"
"Scott Clark","",74,,,,1998,,1,0,,,,,,,,"highSchool"
"Jerome Moiso","University of California, Los Angeles",75,2000,1,11,1998,,1,1,1,1,1,,,,,"other"
"Antwan Scott","Wake Forest University",76,,,,1998,,1,1,0,,,,,,,"college"
"J.R. Vanhoose","Marshall University",77,,,,1998,,1,1,0,,,,,,,"college"
"Schea Cotton","University of Alabama",78,,,,1998,,1,1,0,,,,,,,"college"
"David Hamilton","Auburn University",79,,,,1998,,1,1,0,,,,,,,"college"
"Lonny Baxter","University of Maryland",80,2002,2,44,1998,,1,1,1,1,1,,,,,"other"
"Kueth Duany","Syracuse University",81,,,,1998,,1,1,0,,,,,,,"college"
"Steve Bynes","",82,,,,1998,,1,0,,,,,,,,"highSchool"
"John Salmons","University of Miami",82,2002,1,26,1998,0.61,1,1,1,1,1,,,1,,"good"
"Traves Wilson","Illinois State University",82,,,,1998,,1,1,0,,,,,,,"college"
"Ajou Deng","University of Connecticut",85,,,,1998,,1,1,0,,,,,,,"college"
"Tyrus Boswell","Mississippi State University",86,,,,1998,,1,1,0,,,,,,,"college"
"Chris Jefferies","California State University, Fresno",87,2002,1,27,1998,,1,1,1,1,1,,,,,"other"
"Marqus Ledoux","University of Tulsa",88,,,,1998,,1,1,0,,,,,,,"college"
"David Graves","University of Notre Dame",88,,,,1998,,1,1,0,,,,,,,"college"
"Damon Hancock","Southern Methodist University",90,,,,1998,,1,1,0,,,,,,,"college"
"Dahntay Jones","Duke University",91,2003,1,20,1998,-0.85,1,1,1,1,1,,1,,,"bad"
"Dennis Gates","University of California",92,,,,1998,,1,1,0,,,,,,,"college"
"Mack McGadney","Auburn University",93,,,,1998,,1,1,0,,,,,,,"college"
"Jermaine Williams","Louisiana State University",94,,,,1998,,1,1,0,,,,,,,"college"
"Kyle Hornsby","Indiana University",95,,,,1998,,1,1,0,,,,,,,"college"
"Donte Smith","University of California",96,,,,1998,,1,1,0,,,,,,,"college"
"Dennis Nathan","California State University, Fresno",97,,,,1998,,1,1,0,,,,,,,"college"
"Aaron Matthews","Delaware State University",98,,,,1998,,1,1,0,,,,,,,"college"
"Sam Haginas","University of Alabama",98,,,,1998,,1,1,0,,,,,,,"college"
"Brian Brown","Ohio State University",100,,,,1998,,1,1,0,,,,,,,"college"
"Donnell Harvey","University of Florida",1,2000,1,22,1999,-0.2,1,1,1,1,1,,,1,,"good"
"Keith Bogans","University of Kentucky",2,2003,2,43,1999,0.54,1,1,1,1,1,,,1,,"good"
"Jay Williams","Duke University",3,2002,1,2,1999,-0.1,1,1,1,1,0,,,,,"rookie"
"Joseph Forte","University of North Carolina",4,2001,1,21,1999,,1,1,1,1,1,,,,,"other"
"Marvin Stone","University of Louisville",5,,,,1999,,1,1,0,,,,,,,"college"
"LaVell Blanchard","University of Michigan",6,,,,1999,,1,1,0,,,,,,,"college"
"Brett Nelson","University of Florida",7,,,,1999,,1,1,0,,,,,,,"college"
"Jonathan Bender","",8,1999,1,5,1999,-0.3,1,1,2,1,1,,,1,,"good"
"Carlos Boozer","Duke University",8,2002,2,35,1999,1.85,1,1,1,1,1,,,1,,"good"
"Jason Kapono","University of California, Los Angeles",10,2003,2,31,1999,-0.07,1,1,1,1,1,,,1,,"good"
"Damien Wilkins","University of Georgia",11,,,,1999,0.35,1,1,0,,,,,,,"college"
"Leon Smith","",12,1999,1,29,1999,,1,1,2,1,1,,,,,"other"
"Kenny Satterfield","University of Cincinnati",13,2001,2,54,1999,,1,1,1,1,1,,,,,"other"
"Jason Richardson","Michigan State University",14,2001,1,5,1999,2.19,1,1,1,1,1,,,,1,"great"
"Jason Parker","University of Kentucky",15,,,,1999,,1,1,0,,,,,,,"college"
"Casey Sanders","Duke University",16,,,,1999,,1,1,0,,,,,,,"college"
"DerMarr Johnson","University of Cincinnati",17,2000,1,6,1999,0.5,1,1,1,1,1,,,1,,"good"
"Jason Gardner","University of Arizona",18,,,,1999,,1,1,0,,,,,,,"college"
"Casey Jacobsen","Stanford University",18,2002,1,22,1999,0.15,1,1,1,1,1,,,1,,"good"
"Brian Cook","University of Illinois at Urbana-Champaign",20,2003,1,24,1999,0.5,1,1,1,1,1,,,1,,"good"
"Drew Gooden","University of Kansas",21,2002,1,4,1999,0.35,1,1,1,1,1,,,1,,"good"
"Nick Collison","University of Kansas",22,2003,1,12,1999,1.24,1,1,1,1,1,,,1,,"good"
"Majestic Mapp","University of Virginia",23,,,,1999,,1,1,0,,,,,,,"college"
"Kevin Gaines","University of Houston",24,,,,1999,,1,1,0,,,,,,,"college"
"Joe Johnson","University of Arkansas",25,2001,1,10,1999,1.68,1,1,1,1,1,,,1,,"good"
"Mike Dunleavy","Duke University",26,2002,1,3,1999,1.56,1,1,1,1,1,,,1,,"good"
"Rod Grizzard","University of Alabama",27,2002,,,1999,,1,1,1,0,,,,,,"draft"
"Travis Watson","University of Virginia",28,,,,1999,,1,1,0,,,,,,,"college"
"Samuel Dalembert","Seton Hall University",29,2001,1,26,1999,0.72,1,1,1,1,1,,,1,,"good"
"George Williams","University of Houston",30,,,,1999,,1,1,0,,,,,,,"college"
"Donnell Knight","Arizona State University",30,,,,1999,,1,1,0,,,,,,,"college"
"Tony Robertson","University of Connecticut",32,,,,1999,,1,1,0,,,,,,,"college"
"Marshall Williams","North Carolina State University",33,,,,1999,,1,1,0,,,,,,,"college"
"Kareem Rush","University of Missouri",34,2002,1,20,1999,-0.4,1,1,1,1,1,,,1,,"good"
"Chuck Eidson","University of South Carolina",35,,,,1999,,1,1,0,,,,,,,"college"
"Steven Hunter","DePaul University",36,2001,1,15,1999,0.1,1,1,1,1,1,,,1,,"good"
"Roger Mason","University of Virginia",37,2002,2,31,1999,0.53,1,1,1,1,1,,,1,,"good"
"Matt Bonner","University of Florida",38,2003,2,45,1999,1.35,1,1,1,1,1,,,1,,"good"
"Reece Gaines","University of Louisville",39,2003,1,15,1999,,1,1,1,1,1,,,,,"other"
"Matt Carroll","University of Notre Dame",40,,,,1999,0.35,1,1,0,,,,,,,"college"
"Todd Billet","Rutgers University",41,,,,1999,,1,1,0,,,,,,,"college"
"Tito Maddox","California State University, Fresno",42,2002,2,38,1999,,1,1,1,1,0,,,,,"rookie"
"Derrick Payne","",43,,,,1999,,1,0,,,,,,,,"highSchool"
"Antonio Falu","Valparaiso University",44,,,,1999,,1,1,0,,,,,,,"college"
"Marcus Cox","University of Connecticut",45,,,,1999,,1,1,0,,,,,,,"college"
"Jamal Crawford","University of Michigan",46,2000,1,8,1999,0.71,1,1,1,1,1,,,1,,"good"
"DeShaun Williams","Iona College",46,,,,1999,,1,1,0,,,,,,,"college"
"Brent Darby","Ohio State University",48,,,,1999,,1,1,0,,,,,,,"college"
"Mike Bauer","University of Minnesota",49,,,,1999,,1,1,0,,,,,,,"college"
"Brian Wethers","University of California",50,,,,1999,,1,1,0,,,,,,,"college"
"Ron Slay","University of Tennessee",51,,,,1999,,1,1,0,,,,,,,"college"
"Kenny Walker","University of Alabama",52,,,,1999,,1,1,0,,,,,,,"college"
"Hollis Price","University of Oklahoma",53,,,,1999,,1,1,0,,,,,,,"college"
"Josh Moore","University of Michigan",54,,,,1999,,1,1,0,,,,,,,"college"
"Steve Blake","University of Maryland",55,2003,2,38,1999,0.26,1,1,1,1,1,,,1,,"good"
"Andrew Sullivan","Villanova University",56,,,,1999,,1,1,0,,,,,,,"college"
"Tony Bobbitt","University of Cincinnati",57,,,,1999,,1,1,0,,,,,,,"college"
"Bernard King","Texas A&M University",57,,,,1999,,1,1,0,,,,,,,"college"
"Jamison Brewer","Auburn University",59,2001,2,41,1999,,1,1,1,1,1,,,,,"other"
"Ezra Williams","University of Georgia",60,,,,1999,,1,1,0,,,,,,,"college"
"Caron Butler","University of Connecticut",60,2002,1,10,1999,1.45,1,1,1,1,1,,,1,,"good"
"Kirk Hinrich","University of Kansas",62,2003,1,7,1999,1.28,1,1,1,1,1,,,1,,"good"
"Curtis Borchardt","Stanford University",63,2002,1,18,1999,,1,1,1,1,1,,,,,"other"
"Stephane Pelle","University of Colorado",64,,,,1999,,1,1,0,,,,,,,"college"
"Brian Woodward","University of Rhode Island",65,,,,1999,,1,1,0,,,,,,,"college"
"Erwin Dudley","University of Alabama",66,,,,1999,,1,1,0,,,,,,,"college"
"Doug Wrenn","University of Washington",67,,,,1999,,1,1,0,,,,,,,"college"
"Aloysius Anagonye","Michigan State University",68,,,,1999,,1,1,0,,,,,,,"college"
"Ronald Dupree","Louisiana State University",69,,,,1999,,1,1,0,,,,,,,"college"
"Ronald Blackshear","Marshall University",70,,,,1999,,1,1,0,,,,,,,"college"
"Brian Jackson","Oregon State University",71,,,,1999,,1,1,0,,,,,,,"college"
"George Leach","Indiana University",72,,,,1999,,1,1,0,,,,,,,"college"
"Justin Davis","Stanford University",73,,,,1999,,1,1,0,,,,,,,"college"
"Courtland Freeman","Georgetown University",74,,,,1999,,1,1,0,,,,,,,"college"
"Tahj Holden","University of Maryland",75,,,,1999,,1,1,0,,,,,,,"college"
"Ricky Wright","Villanova University",75,,,,1999,,1,1,0,,,,,,,"college"
"Rodney White","University of North Carolina at Charlotte",77,2001,1,9,1999,-1,1,1,1,1,1,,1,,,"bad"
"Jon Oden","DePaul University",78,,,,1999,,1,1,0,,,,,,,"college"
"Jamario Moon","Meridian Community College",79,,,,1999,2.25,1,1,0,,,,,,,"college"
"Ray Henderson","Clemson University",79,,,,1999,,1,1,0,,,,,,,"college"
"Cliff Crawford","North Carolina State University",81,,,,1999,,1,1,0,,,,,,,"college"
"Jon Higgins","University of Tennessee",82,,,,1999,,1,1,0,,,,,,,"college"
"Carlton Baker","",82,,,,1999,,1,0,,,,,,,,"highSchool"
"Marquis Daniels","Auburn University",84,,,,1999,0.43,1,1,0,,,,,,,"college"
"Shawnson Johnson","University of North Texas",85,,,,1999,,1,1,0,,,,,,,"college"
"Zach Johnson","Louisiana Tech University",85,,,,1999,,1,1,0,,,,,,,"college"
"John Stewart","",87,,,,1999,,1,0,,,,,,,,"highSchool"
"Adam Wolfe","Michigan State University",88,,,,1999,,1,1,0,,,,,,,"college"
"Nate Hair","University of Southern California",89,,,,1999,,1,1,0,,,,,,,"college"
"Marque Perry","Saint Louis University",89,,,,1999,,1,1,0,,,,,,,"college"
"Jarrett Hart","University of Oklahoma",91,,,,1999,,1,1,0,,,,,,,"college"
"Julian Swartz","University of Wisconsin",92,,,,1999,,1,1,0,,,,,,,"college"
"Marquis Estill","University of Kentucky",92,,,,1999,,1,1,0,,,,,,,"college"
"Rafael Berumen","University of Miami",94,,,,1999,,1,1,0,,,,,,,"college"
"Chris Monroe","George Washington University",95,,,,1999,,1,1,0,,,,,,,"college"
"Derrick Zimmerman","Mississippi State University",96,2003,2,40,1999,,1,1,1,1,0,,,,,"rookie"
"Wesley Wilson","Georgetown University",97,,,,1999,,1,1,0,,,,,,,"college"
"Demetrius Hunter","Georgetown University",98,,,,1999,,1,1,0,,,,,,,"college"
"Greg Morton","Seton Hall University",99,,,,1999,,1,1,0,,,,,,,"college"
"Gilbert Arenas","University of Arizona",99,2001,2,31,1999,3.57,1,1,1,1,1,,,,1,"great"
"Zach Randolph","Michigan State University",1,2001,1,19,2000,0.92,1,1,1,1,1,,,1,,"good"
"Eddie Griffin","Seton Hall University",2,2001,1,7,2000,0.55,1,1,1,1,1,,,1,,"good"
"Darius Miles","",3,2000,1,3,2000,0.58,1,1,2,1,1,,,1,,"good"
"Gerald Wallace","University of Alabama",4,2001,1,25,2000,3,1,1,1,1,1,,,,1,"great"
"Marcus Taylor","Michigan State University",5,2002,,,2000,,1,1,1,0,,,,,,"draft"
"DeShawn Stevenson","",6,2000,1,23,2000,0,1,1,2,1,1,,,1,,"good"
"Chris Duhon","Duke University",6,2004,2,38,2000,0.53,1,1,1,1,1,,,1,,"good"
"Mario Austin","Mississippi State University",8,2003,,,2000,,1,1,1,0,,,,,,"draft"
"Jared Jeffries","Indiana University",9,2002,1,11,2000,0.6,1,1,1,1,1,,,1,,"good"
"Taliek Brown","University of Connecticut",10,,,,2000,,1,1,0,,,,,,,"college"
"Andre Brown","DePaul University",11,,,,2000,,1,1,0,,,,,,,"college"
"Omar Cook","St. John's University",11,2001,2,32,2000,,1,1,1,1,1,,,,,"other"
"Jerome Harper","",13,,,,2000,,1,0,,,,,,,,"highSchool"
"Alton Ford","University of Houston",14,2001,2,51,2000,,1,1,1,1,1,,,,,"other"
"Andre Barrett","Seton Hall University",15,,,,2000,,1,1,0,,,,,,,"college"
"Darius Rice","University of Miami",16,,,,2000,,1,1,0,,,,,,,"college"
"Abdou Diame","Jacksonville State University",17,,,,2000,,1,1,0,,,,,,,"college"
"Imari Sawyer","DePaul University",18,,,,2000,,1,1,0,,,,,,,"college"
"Cedrick Banks","University of Illinois at Chicago",19,,,,2000,,1,1,0,,,,,,,"college"
"Rolando Howell","University of South Carolina",19,,,,2000,,1,1,0,,,,,,,"college"
"Travon Bryant","University of Missouri",21,,,,2000,,1,1,0,,,,,,,"college"
"Justin Reed","University of Mississippi",22,2004,2,40,2000,,1,1,1,1,1,,,,,"other"
"Chris Wilcox","University of Maryland",23,2002,1,8,2000,0.5,1,1,1,1,1,,,1,,"good"
"Brian Morrison","University of California, Los Angeles",24,,,,2000,,1,1,0,,,,,,,"college"
"Orien Greene","University of Louisiana at Lafayette",25,2005,2,53,2000,,1,1,1,1,1,,,,,"other"
"Marcus Toney-El","Seton Hall University",26,,,,2000,,1,1,0,,,,,,,"college"
"Glen Worley","University of Iowa",27,,,,2000,,1,1,0,,,,,,,"college"
"T.J. Cummings","University of California, Los Angeles",28,,,,2000,,1,1,0,,,,,,,"college"
"Desmon Farmer","University of Southern California",29,,,,2000,,1,1,0,,,,,,,"college"
"Nick Anderson","Texas A&M University",30,,,,2000,,1,1,0,,,,,,,"college"
"Garner Meads","Brigham Young University",31,,,,2000,,1,1,0,,,,,,,"college"
"Rickey Paulding","University of Missouri",32,2004,,,2000,,1,1,1,0,,,,,,"draft"
"Adam Boone","University of Minnesota",33,,,,2000,,1,1,0,,,,,,,"college"
"Mike Sweetney","Georgetown University",34,2003,1,9,2000,0,1,1,1,1,1,,,1,,"good"
"Scott Hazelton","University of Rhode Island",35,,,,2000,,1,1,0,,,,,,,"college"
"Cliff Hawkins","University of Kentucky",36,,,,2000,,1,1,0,,,,,,,"college"
"Ivan McFarlin","Oklahoma State University",36,,,,2000,,1,1,0,,,,,,,"college"
"Scooter Sherrill","North Carolina State University",38,,,,2000,,1,1,0,,,,,,,"college"
"Herve Lamizana","Rutgers University",39,,,,2000,,1,1,0,,,,,,,"college"
"Brian Boddicker","University of Texas at Austin",40,,,,2000,,1,1,0,,,,,,,"college"
"Jason Parker","University of Kentucky",41,,,,2000,,1,1,0,,,,,,,"college"
"Jared Reiner","University of Iowa",41,,,,2000,,1,1,0,,,,,,,"college"
"Arthur Johnson","University of Missouri",43,,,,2000,,1,1,0,,,,,,,"college"
"Luke Whitehead","University of Louisville",44,,,,2000,,1,1,0,,,,,,,"college"
"Terrence Crawford","Oklahoma State University",44,,,,2000,,1,1,0,,,,,,,"college"
"Michael Joiner","Florida State University",44,,,,2000,,1,1,0,,,,,,,"college"
"Caron Butler","University of Connecticut",47,2002,1,10,2000,1.45,1,1,1,1,1,,,1,,"good"
"Eddie Starks","Iona College",48,,,,2000,,1,1,0,,,,,,,"college"
"Brandon Brooks","University of Southern California",49,,,,2000,,1,1,0,,,,,,,"college"
"Brandon Mouton","University of Texas at Austin",50,,,,2000,,1,1,0,,,,,,,"college"
"Brett Buscher","Purdue University",51,,,,2000,,1,1,0,,,,,,,"college"
"Mohamed Diakite","St. John's University",52,,,,2000,,1,1,0,,,,,,,"college"
"Romain Sato","Xavier University",53,2004,,,2000,,1,1,1,0,,,,,,"draft"
"Neil Fingleton","College of the Holy Cross",54,,,,2000,,1,1,0,,,,,,,"college"
"Kendall Dartez","University of Louisville",55,,,,2000,,1,1,0,,,,,,,"college"
"A.J. Moye","Indiana University",56,,,,2000,,1,1,0,,,,,,,"college"
"Maurice Young","St. Bonaventure University",57,,,,2000,,1,1,0,,,,,,,"college"
"Jake Sullivan","Iowa State University",58,,,,2000,,1,1,0,,,,,,,"college"
"Demetrius Smith","University of Alabama",59,,,,2000,,1,1,0,,,,,,,"college"
"Matt Lottich","Stanford University",60,,,,2000,,1,1,0,,,,,,,"college"
"Modibo Diarra","University of Memphis",61,,,,2000,,1,1,0,,,,,,,"college"
"Marvin Lewis","Georgia Institute of Technology",61,,,,2000,,1,1,0,,,,,,,"college"
"Kyle Cuffe","St. John's University",63,,,,2000,,1,1,0,,,,,,,"college"
"Omar Weaver","",64,,,,2000,,1,0,,,,,,,,"highSchool"
"Avery Queen","University of Michigan",64,,,,2000,,1,1,0,,,,,,,"college"
"James Thomas","University of Texas at Austin",66,,,,2000,,1,1,0,,,,,,,"college"
"Bernard Robinson","University of Michigan",67,2004,2,45,2000,,1,1,1,1,1,,,,,"other"
"Scooter McFadgon","University of Tennessee",68,,,,2000,,1,1,0,,,,,,,"college"
"Luke Ridnour","University of Oregon",68,2003,1,14,2000,0.96,1,1,1,1,1,,,1,,"good"
"JueMichael Young","Louisiana Tech University",70,,,,2000,,1,1,0,,,,,,,"college"
"Dwon Clifton","University of North Carolina at Greensboro",71,,,,2000,,1,1,0,,,,,,,"college"
"Andrew Zahn","University of Arizona",72,,,,2000,,1,1,0,,,,,,,"college"
"Wesley Stokes","San Diego State University",72,,,,2000,,1,1,0,,,,,,,"college"
"Jeff McMillan","University of Southern California",74,,,,2000,,1,1,0,,,,,,,"college"
"Billy Richmond","University of Memphis",75,,,,2000,,1,1,0,,,,,,,"college"
"Tony Stockman","Ohio State University",76,,,,2000,,1,1,0,,,,,,,"college"
"Liberto Tetimadingar","Fordham University",77,,,,2000,,1,1,0,,,,,,,"college"
"Nick Smith","University of Illinois at Urbana-Champaign",77,,,,2000,,1,1,0,,,,,,,"college"
"Johnnie Gilbert","University of Oklahoma",79,,,,2000,,1,1,0,,,,,,,"college"
"Keith Triplett","University of Toledo",80,,,,2000,,1,1,0,,,,,,,"college"
"Julian Sensley","University of Hawaii",81,,,,2000,,1,1,0,,,,,,,"college"
"Derrick Snowden","Villanova University",82,,,,2000,,1,1,0,,,,,,,"college"
"Lou Wright","University of Tennessee",82,,,,2000,,1,1,0,,,,,,,"college"
"Antonio Hargrove","",84,,,,2000,,1,0,,,,,,,,"highSchool"
"Scott Merritt","Marquette University",85,,,,2000,,1,1,0,,,,,,,"college"
"Brandon Crump","University of Tennessee",86,,,,2000,,1,1,0,,,,,,,"college"
"Chris Daniels","University of Georgia",87,,,,2000,,1,1,0,,,,,,,"college"
"Taurance Johnson","Florida International University",88,,,,2000,,1,1,0,,,,,,,"college"
"Timmy Bowers","Mississippi State University",89,,,,2000,,1,1,0,,,,,,,"college"
"Tory Reed","University of North Carolina at Charlotte",90,,,,2000,,1,1,0,,,,,,,"college"
"Dave Holmes","Manhattan College",90,,,,2000,,1,1,0,,,,,,,"college"
"Yamar Diene","Rice University",92,,,,2000,,1,1,0,,,,,,,"college"
"Maurice Searight","Grambling State University",92,,,,2000,,1,1,0,,,,,,,"college"
"Patrick Dennehy","University of New Mexico",94,,,,2000,,1,1,0,,,,,,,"college"
"Mike Bell","Florida Atlantic University",95,,,,2000,,1,1,0,,,,,,,"college"
"Barry Thompson","Louisiana Tech University",96,,,,2000,,1,1,0,,,,,,,"college"
"Omari Westley","Cleveland State University",97,,,,2000,,1,1,0,,,,,,,"college"
"Marcus Melvin","North Carolina State University",98,,,,2000,,1,1,0,,,,,,,"college"
"Gerald Riley","Georgetown University",98,,,,2000,,1,1,0,,,,,,,"college"
"Jimmy Baxter","University of South Florida",100,,,,2000,,1,1,0,,,,,,,"college"
"Eddy Curry","",1,2001,1,4,2001,-0.6,1,1,2,1,1,,1,,,"bad"
"Kelvin Torbert","Michigan State University",2,,,,2001,,1,1,0,,,,,,,"college"
"Dajuan Wagner","University of Memphis",3,2002,1,6,2001,,1,1,1,1,1,,,,,"other"
"Tyson Chandler","",4,2001,1,2,2001,2.35,1,1,2,1,1,,,,1,"great"
"Ousmane Cisse","",5,2001,,,2001,,1,1,2,0,,,,,,"draft"
"Kwame Brown","",6,2001,1,1,2001,0.15,1,1,2,1,1,,,1,,"good"
"Julius Hodge","North Carolina State University",7,2005,1,20,2001,,1,1,1,1,1,,,,,"other"
"DeSagana Diop","",8,2001,1,8,2001,2.1,1,1,2,1,1,,,,1,"great"
"Rick Rickert","University of Minnesota",9,2003,,,2001,,1,1,1,0,,,,,,"draft"
"David Lee","University of Florida",10,2005,1,30,2001,2.26,1,1,1,1,1,,,,1,"great"
"Jawad Williams","University of North Carolina",11,,,,2001,,1,1,0,,,,,,,"college"
"Carlos Hurt","University of Louisville",12,,,,2001,,1,1,0,,,,,,,"college"
"David Harrison","University of Colorado",13,2004,1,29,2001,,1,1,1,1,1,,,,,"other"
"Jonathan Hargett","West Virginia University",13,,,,2001,,1,1,0,,,,,,,"college"
